x,y
718,-3.4856017958759743e-06
719,-1.4263170378811275e-05
720,2.4284820987052064e-08
721,1.1182901109569302e-05
722,5.715079741430712e-06
723,-1.14315851627755e-05
724,-2.750981217058496e-05
725,-1.6212864365701694e-05
726,7.260274211939486e-06
727,1.4493681508580904e-05
728,-1.1939413176169638e-05
729,-2.0206022294128636e-05
730,-1.8107408370591908e-06
731,2.2872975999012167e-05
732,4.3369164061683724e-05
733,3.5364593303286026e-06
734,-3.5215089355560285e-05
735,-3.238683834201847e-05
736,-2.0122149250031084e-05
737,-1.3724884599548105e-05
738,1.4221630766421162e-06
739,2.178615612642186e-05
740,2.4880081264138396e-05
741,1.2316296901711098e-05
742,2.55105799505377e-06
743,1.6484670981065238e-05
744,-4.608856805226669e-06
745,-1.5038797262467403e-05
746,1.0556082610311927e-05
747,1.3941126372291139e-05
748,1.3285640568214227e-05
749,1.9575261307792192e-05
750,2.4321238962211292e-05
751,4.564841677698165e-06
752,-2.3408556183764778e-05
753,-5.2320147600067816e-06
754,3.6214635982923893e-06
755,2.918236524251114e-06
756,1.576266058512393e-06
757,-1.59040079592825e-05
758,-9.839295405779467e-07
759,2.1132486882557045e-05
760,3.196221008409429e-05
761,3.1839459546407687e-05
762,-6.90118820840678e-06
763,-2.385494054957417e-05
764,-2.384504228962448e-05
765,-2.1061378309338344e-05
766,-4.417284479285393e-06
767,2.521149143460365e-05
768,2.065126763800757e-05
769,9.681799034356574e-06
770,2.512100412849097e-05
771,1.1658470341397017e-05
772,-1.601203843569455e-05
773,-1.2255599217077674e-05
774,9.511757162647383e-07
775,2.0140586830225235e-06
776,2.4067306400742355e-05
777,-3.924330056406615e-06
778,-3.019906442861518e-05
779,5.0238690933883975e-06
780,2.315923333849921e-05
781,1.7985944905322807e-06
782,-2.3407377021913934e-05
783,-2.8407360937596096e-05
784,-9.546273331351401e-06
785,1.0500110827000122e-05
786,1.0768336500274452e-05
787,-1.0108512052908042e-05
788,3.593209850422715e-07
789,1.0608897288188741e-05
790,-1.000045562559983e-05
791,-1.704127625221124e-05
792,-1.546485389670668e-05
793,-7.152148465506343e-07
794,8.774285638387367e-06
795,-1.4915460732612654e-06
796,-1.1317704959943502e-05
797,-1.2511297227108366e-06
798,8.719221322922685e-06
799,1.1221340059111085e-05
800,-7.146651443165337e-06
801,-2.3212309621300272e-05
802,-4.035786623768833e-06
803,-4.2290642109235415e-06
804,-2.7852535642939485e-05
805,-2.808098956105193e-05
806,2.7845151732862523e-06
807,6.5129325344400976e-06
808,2.0302654889752057e-05
809,3.9309661122420195e-05
810,2.6669267137528595e-05
811,3.979253379172336e-06
812,-1.5118395853713307e-05
813,1.0977315399820586e-05
814,2.292827605386989e-05
815,6.94867448115886e-06
816,-1.5109602122938335e-05
817,-1.7828958837724448e-05
818,-1.6412575344194966e-06
819,7.856450546493601e-06
820,5.7427409783888765e-06
821,-1.0312454167928152e-05
822,-3.0339859699447206e-05
823,-2.803834053795743e-05
824,-1.0575694188539198e-07
825,1.3121650257888142e-05
